Link,Screen,Do_phan_giais,Tan_so_quets,Do_phu_mau,Screen_Technologys
//www.thegioididong.com/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/acer-predator-helios-18-ai-ph18-73-93p0-ultra-9-nhqvysv001,Không có,Full HD (1920 x 1080),144Hz,"Tấm nền IPS
Chống chói Anti Glare
Adaptive-Sync
250 nits",Không có
//www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00d9vn,"15.6""",WUXGA,60Hz,45% NTSC,"Low Blue Light
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/asus-tuf-gaming-fx517ze-i5-hn045w,"15.6""",Full HD (1920 x 1080),60Hz,"TFT
LED Backlit
Acer ComfyView",Không có
//www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001,"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn,"14""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/hp-victus-16-r0227tx-i5-9q978pa,"16.1""",Full HD+ (1920 x 1200),60Hz,"Display with ComfortView
Chống chói Anti Glare
250 nits
WVA",Không có
//www.thegioididong.com/laptop/msi-cyborg-15-a13vek-i7-1423vn,"15.6""",2.8K (2880 x 1800) - OLED,120Hz,100% DCI-P3,"Thời gian phản hồi 0.2 ms
Low Blue Light
Màn hình OLED
400 nits
500 nits (Khi bật HDR)
1.07 tỷ màu"
//www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83jc003yvn,"15.6""",WQXGA (2560 x 1600),60Hz,99% DCI-P3,"350 nits
Chống chói Anti Glare"
//www.thegioididong.com/laptop/dell-inspiron-14-5440-i5-ndy5v1,"14""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Acer ComfyView
250 nits"
//www.thegioididong.com/laptop/hp-spectre-x360-14-eu0050tu-ultra-7-a19blpa,"14""",Full HD (1920 x 1080),144Hz,62.5% sRGB,"Tấm nền IPS
Chống chói Anti Glare
Adaptive-Sync"
//www.thegioididong.com/laptop/lg-gram-16z90s-ultra-7-16z90sgah76a5,"16""",Full HD (1920 x 1080),144Hz,"62.5% sRGB
47.34% Adobe RGB
45% NTSC","Tấm nền IPS
Chống chói Anti Glare
Adaptive-Sync
250 nits"
//www.thegioididong.com/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,"15.6""",WUXGA,60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
Độ sáng 300 nits"
//www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn229w?utm_flashsale=1,"15.6""",10,120Hz,100% DCI-P3,"Chuẩn DisplayHDR True Black 600
Low Blue Light
400 nits
600 nits (Khi bật HDR)
1.07 tỷ màu"
//www.thegioididong.com/laptop/asus-fa506nfr-r7-hn113w,"15.6""",Liquid Retina (2560 x 1664),Hãng không công bố,"Wide color (P3)
Công nghệ IPS
500 nits brightness
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/asus-vivobook-16-m1607ka-r7-ai-350-mb091ws,"16""",Full HD (1920 x 1080),60Hz,45% NTSC,"Low Blue Light
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/asus-vivobook-s-16-s5606ca-ultra-5-ri114ws,"16""",QHD+ (2560 x 1600),120Hz,100% DCI-P3,"Anti-Reflective
500 nits brightness"
//www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-512gb,"13.6""",4K/UHD+ (3840 x 2400),120Hz,100% DCI-P3,"Tấm nền IPS
Độ sáng 1000 nits
Mini LED"
//www.thegioididong.com/laptop/lenovo-v15-g5-irl-core-5-83hf0000vn?utm_flashsale=1,"15.6""",2.8K (2880 x 1800),120Hz,100% sRGB,"Tấm nền IPS
Acer ComfyView
400 nits"
//www.thegioididong.com/laptop/dell-xps-13-9350-ultra-7-xpsu7016w1,"13.4""",10,60Hz,100% DCI-P3,"Chuẩn DisplayHDR True Black 500
Màn hình OLED"
//www.thegioididong.com/laptop/msi-stealth-a16-ai-a3xvgg-r9-ai-hx-370-208vn,"16""",Full HD (1920 x 1080),165 Hz,45% NTSC,"Tấm nền IPS
Acer ComfyView"
//www.thegioididong.com/laptop/acer-swift-go-14-ai-73-53x7-ultra-5-nxkslsv001,"14""",Full HD (1920 x 1080),144Hz,"62.5% sRGB
47.34% Adobe RGB
45% NTSC","Tấm nền IPS
Chống chói Anti Glare
Adaptive-Sync
250 nits"
//www.thegioididong.com/laptop/msi-prestige-13-ai-evo-a1mg-ultra-7-062vn,"13.3""",Full HD (1920 x 1080),60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001,"15.6""",Full HD (1920 x 1080),144Hz,"100% sRGB
75.35% Adobe RGB
72% NTSC","G-Sync
Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/asus-fx507zc4-i7-hn181w,"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"Chống chói Anti Glare
LED Backlit
250 nits"
//www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,"15.6""","WUXGA, OLED",60Hz,100% DCI-P3,"Màn hình OLED
400 nits"
//www.thegioididong.com/laptop/asus-fa507nvr-r7-lp007w,"15.6""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,"ProMotion
Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1000 nits
Wide color (P3)
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w,"14""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Acer ComfyView"
//www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14q8x9-x1p-42-100-83hl000kvn,"14""",Full HD+ (1920 x 1200),60Hz,45% NTSC,"TFT
LED Backlit
Acer ComfyView
Độ sáng 300 nits"
//www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-24gb-512gb?utm_flashsale=1,"14.2""",Full HD (1920 x 1080),60Hz,45% NTSC,"Chống chói Anti Glare
250 nits
WVA"
//www.thegioididong.com/laptop/acer-nitro-v-anv15-51-58an-i5-nhqnasv001,"15.6""",Full HD (1920 x 1080),60Hz,"Tấm nền IPS
Chống chói Anti Glare",Không có
//www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001,"14""",Full HD (1920 x 1080),120Hz,45% NTSC,"Chống chói Anti Glare
250 nits
WVA"
//www.thegioididong.com/laptop/dell-latitude-3440-i7-71038103?utm_flashsale=1,"14""",WUXGA,60Hz,100% sRGB,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/msi-modern-15-b12mo-i7-487vn,"15.6""",WUXGA,60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7301w1,"15.6""",WUXGA,165 Hz,100% sRGB,"TFT
LED Backlit
Acer ComfyView"
//www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-7-21lu004lvn,"13.3""",WUXGA,60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
Độ sáng 300 nits"
//www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn,"14""",2.8K (2880 x 1800) - OLED,48 - 120 Hz,100% DCI-P3,"LED UWVA
Thời gian phản hồi 0.2 ms
Low Blue Light
Corning Gorilla Glass 3
Màn hình OLED
400 nits
500 nits (Khi bật HDR)"
//www.thegioididong.com/laptop/acer-nitro-v-16-propanel-anv16-41-r6zy-r5-nhqp2sv002,"16""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare"
//www.thegioididong.com/laptop/asus-vivobook-16-a1607ca-ultra-5-mb038ws,"16""",Full HD+ (1920 x 1200),60Hz,45% NTSC,"LED Backlit
Acer ComfyView
WVA"
//www.thegioididong.com/laptop/hp-envy-x360-14-fc0153tu-ultra-7-ay8v4pa?utm_flashsale=1,"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"Chống chói Anti Glare
LED Backlit
250 nits"
//www.thegioididong.com/laptop/msi-gf63-thin-12ve-i5-460vn,"15.6""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,"ProMotion
Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1000 nits
Wide color (P3)
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/acer-swift-lite-14-ai-sfl14-51m-56hs-ultra-5-nxj1hsv002,"14""",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w?utm_flashsale=1,"15.6""",Full HD (1920 x 1080),144Hz,"100% sRGB
75.35% Adobe RGB
72% NTSC","G-Sync
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-48gb-512gb,"14.2""",WUXGA,60Hz,45% NTSC,"Low Blue Light
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/msi-prestige-13-ai-a2vmg-ultra-7-258v-040vn,Không có,2.8K (2880 x 1800) - OLED,90 Hz,100% DCI-P3,"Chuẩn DisplayHDR True Black 500
Eyesafe
Màn hình OLED
WVA
550 nits (Khi bật HDR)"
//www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nv-r7-lp031w?utm_flashsale=1,"15.6""",Retina (2560 x 1600),Hãng không công bố,"Tấm nền IPS
LED Backlit
400 nits
True Tone Technology",Không có
//www.thegioididong.com/laptop/lenovo-thinkbook-14-g7-ultra-7-21mr0070vn,"14""",2.8K (2880 x 1800) - OLED,90 Hz,100% DCI-P3,"Chuẩn DisplayHDR True Black 500
Eyesafe
Màn hình OLED
WVA
550 nits (Khi bật HDR)"
//www.thegioididong.com/laptop/acer-swift-ai-sf14-51-75vp-ultra-7-nxj2ksv001,"14""",Full HD (1920 x 1080),60Hz,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits",Không có
//www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,"13.3""",WUXGA,60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/acer-swift-ai-sf14-51-53p9-ultra-5-nxj2ksv002,"14""",10,60Hz,100% DCI-P3,"Thời gian phản hồi 0.2 ms
Low Blue Light
Màn hình OLED
500 nits (Khi bật HDR)
1.07 tỷ màu"
//www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,"15.6""",Full HD (1920 x 1080),144Hz,100% sRGB,"Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i7-mb1875ws,"16""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/hp-envy-x360-14-fa0048au-r7-a19bqpa?utm_flashsale=1,"14""",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn,"15.6""",WQXGA (2560 x 1600),60Hz,99% DCI-P3,"350 nits
Chống chói Anti Glare"
//www.thegioididong.com/laptop/gigabyte-g5-mf5-rc555-i7-9rc55mf5fjiinivn000,"15.6""",WUXGA,60Hz,45% NTSC,"Tấm nền IPS
LED Backlit
Acer ComfyView"
//www.thegioididong.com/laptop/msi-vector-16-hx-ai-a2xwig-ultra-9-062vn,Không có,Full HD (1920 x 1080),60Hz,45% NTSC,"Tấm nền TN
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/lg-gram-17z90s-ultra-7-17z90sgah78a5,"17""",Full HD+,60Hz,45% NTSC,"Display with ComfortView
250 nits
WVA"
//www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,"14""",WUXGA,60Hz,45% NTSC,"Low Blue Light
Tấm nền IPS
Độ sáng 300 nits"
//www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,"15.6""",Full HD (1920 x 1080),144Hz,45% NTSC,"Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/asus-fa506ncr-r7-hn097w,"15.6""",10,240Hz,100% DCI-P3,Tấm nền IPS
//www.thegioididong.com/laptop/dell-inspiron-7440-core-5-n4i5006w1,"14""","WUXGA, OLED",60Hz,100% DCI-P3,"Low Blue Light
anti-fingerprint
Màn hình OLED
Dolby Vision
400 nits"
//www.thegioididong.com/laptop/lenovo-ideapad-flex-5-14abr8-r7-7730u-82xx00dlvn,"14""",Full HD (1920 x 1080),144Hz,100% sRGB,"Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/hp-victus-16-r0127tx-i7-8c5n2pa,"16.1""",Full HD (1920 x 1080),60Hz,"Tấm nền IPS
Acer ComfyView",Không có
//www.thegioididong.com/laptop/msi-creator-m16-hx-c14vfg-i7-040vn,"16""",4K/UHD+ (3840 x 2400) OLED,60Hz,100% DCI-P3,"Màn hình OLED
400 nits"
//www.thegioididong.com/laptop/lenovo-yoga-7-2in1-14iml9-ultra-7-83dj001fvn,"14""",Full HD (1920 x 1080),60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00dbvn,"15.6""",WQXGA (2560 x 1600),240Hz,100% DCI-P3,"Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
500 nits brightness
Dolby Vision
HDR Vesa400"
//www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,"15.6""",Full HD (1920 x 1080),120Hz,45% NTSC,"Chống chói Anti Glare
LED Backlit
250 nits
WVA"
//www.thegioididong.com/laptop/msi-prestige-16-ai-b2vmg-ultra-9-288v-016vn,"16""",WUXGA,60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa?utm_flashsale=1,"15.6""",WUXGA,60Hz,45% NTSC,"Low Blue Light
Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits"
//www.thegioididong.com/laptop/lenovo-legion-pro-7-16irx9h-i9-83de001mvn,"16""",Full HD (1920 x 1080),144Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5057w1,"15.6""",WUXGA,60Hz,100% sRGB,"Tấm nền IPS
Chống chói Anti Glare
400 nits"
//www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-7-21ms007hvn,"16""",10,120Hz,100% DCI-P3,"Chuẩn DisplayHDR True Black 600
Low Blue Light
400 nits
600 nits (Khi bật HDR)
1.07 tỷ màu"
//www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21mr0072vn,"14""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,"ProMotion
Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1000 nits
Wide color (P3)
Màn hình Nano-texture
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/hp-gaming-victus-16-r0130tx-i5-8c5n5pa?utm_flashsale=1,"16.1""",Liquid Retina XDR display (3024 x 1964),up to 120 Hz,"ProMotion
Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)
Độ sáng SDR: lên đến 1000 nits
Wide color (P3)
Màn hình Nano-texture
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/hp-elitebook-635-aero-g11-r5-a8ws6pt,"13.3""",WQXGA (2560 x 1600),240Hz,100% DCI-P3,"Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
500 nits brightness
Dolby Vision"
//www.thegioididong.com/laptop/asus-vivobook-s-16-s5606ca-ultra-7-ri115ws,"16""",Full HD (1920 x 1080),165 Hz,45% NTSC,"Tấm nền IPS
Acer ComfyView"
//www.thegioididong.com/laptop/macbook-pro-14-nano-m4-16-512,"14.2""",Full HD (1920 x 1080),60Hz,"BrightView
Tấm nền IPS",Không có
//www.thegioididong.com/laptop/macbook-pro-14-nano-m4-max-36-1t,"14.2""",Full HD (1920 x 1080),144Hz,"Tấm nền IPS
Acer ComfyView",Không có
//www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0046vn,"16""",Liquid Retina (2560 x 1664),Hãng không công bố,"Wide color (P3)
500 nits brightness
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,"15.6""",Full HD (1920 x 1080),60Hz,"BrightView
Tấm nền IPS",Không có
//www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa,"15.6""",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,"15.6""",Full HD (1920 x 1080),60Hz,45% NTSC,"Chống chói Anti Glare
LED Backlit"
//www.thegioididong.com/laptop/macbook-air-13-inch-m3-16gb-256gb-8gpu,"13.6""",2.8K (2880 x 1800) - OLED,120Hz,100% DCI-P3,Màn hình OLED
//www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,"15.6""",Full HD (1920 x 1080),60Hz,62.5% sRGB,"Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/acer-predator-helios-neo-16s-ai-phn16s-71-95ms-ultra-9-nhqx7sv002,Không có,WUXGA,60Hz,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits",Không có
//www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1546w,"15.6""",Liquid Retina,Hãng không công bố,"Wide color (P3)
Công nghệ IPS
500 nits brightness
True Tone Technology
1 tỷ màu",Không có
//www.thegioididong.com/laptop/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn,"14""",2.8K (2880 x 1620) - OLED,120Hz,100% DCI-P3,"Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600
1.07 tỷ màu"
//www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa,"15.6""",Full HD (1920 x 1080),120Hz,"Chống chói Anti Glare
WVA",Không có
//www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w,"16""",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-15arp10-r7-83j3001dvn,"15.1""",2.8K (2880 x 1620) - OLED,120Hz,100% DCI-P3,"Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600
Low Blue Light
Màn hình OLED
600 nits (Khi bật HDR)
1.07 tỷ màu"
//www.thegioididong.com/laptop/macbook-air-15-inch-m4-24gb-256gb,"15.3""",Full HD (1920 x 1080),60Hz,45% NTSC,"Tấm nền IPS
Chống chói Anti Glare
250 nits"
//www.thegioididong.com/laptop/asus-s5507qa-x1e-78-100-ma090ws,"15.6""",WQXGA (2560 x 1600),165 Hz,100% sRGB,"350 nits
Low Blue Light
G-Sync
Tấm nền IPS
Chống chói Anti Glare
Dolby Vision"
